 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,直,,目,,,,,チョク,ジキ,,,,ただ-ちに,なお-す,なお-る,,,,
,勅,敕,力,,S,,,チョク,,,,,,,,,,,
,捗 ,,手,,S,,,チョク,,,,,,,,,,,
,沈,,水,,S,,,チン,,,,,しず-む,しず-める,,,,,
,珍,,玉,,S,,,チン,,,,,めずら-しい,,,,,,
,朕,,月,,S,,,チン,,,,,,,,,,,
,陳,,阜,,S,,,チン,,,,,,,,,,,
,賃,,貝,,,,,チン,,,,,,,,,,,
,鎮,鎭,金,,S,,,チン,,,,,しず-める,しず-まる,,,,,
,追,,辵,,,,,ツイ,,,,,お-う,,,,,,
,椎,,木,,S,,,ツイ,,,,,,,,,,,
,墜,,土,,S,,,ツイ,,,,,,,,,,,
,通,,辵,,,,,ツウ,（ツ）,,,,とお-る,とお-す,かよ-う,,,,
,痛,,疒,,,,,ツウ,,,,,いた-い,いた-む,いた-める,,,,
,塚,塚 ,土,,S,,,,,,,,つか,,,,,,
,漬,,水,,S,,,,,,,,つ-ける,つ-かる,,,,,
,坪,,土,,S,,,,,,,,つぼ,,,,,,
,爪,,爪,,S,,,,,,,,つめ,（つま）,,,,,
,鶴,,鳥,,S,,,,,,,,つる,,,,,,
,低,,人,,,,,テイ,,,,,ひく-い,ひく-める,ひく-まる,,,,
,呈,,口,,S,,,テイ,,,,,,,,,,,
,廷,,廴,,S,,,テイ,,,,,,,,,,,
,弟,,弓,,,,,テイ,（ダイ）,（デ）,,,おとうと,,,,,,
,定,,宀,,,,,テイ,ジョウ,,,,さだ-める,さだ-まる,さだ-か,,,,
,底,,广,,,,,テイ,,,,,そこ,,,,,,
,抵,,手,,S,,,テイ,,,,,,,,,,,
,邸,,邑,,S,,,テイ,,,,,,,,,,,
,亭,,亠,,S,,,テイ,,,,,,,,,,,
,貞,,貝,,S,,,テイ,,,,,,,,,,,
,帝,,巾,,S,,,テイ,,,,,,,,,,,
,訂,,言,,S,,,テイ,,,,,,,,,,,
,庭,,广,,,,,テイ,,,,,にわ,,,,,,
,逓,遞,辵,,S,,,テイ,,,,,,,,,,,
,停,,人,,,,,テイ,,,,,,,,,,,
,偵,,人,,S,,,テイ,,,,,,,,,,,
,堤,,土,,S,,,テイ,,,,,つつみ,,,,,,
,提,,手,,,,,テイ,,,,,さ-げる,,,,,,
,程,,禾,,,,,テイ,,,,,ほど,,,,,,
,艇,,舟,,S,,,テイ,,,,,,,,,,,
,締,,糸,,S,,,テイ,,,,,し-まる,し-める,,,,,
,諦 ,,言,,S,,,テイ,,,,,あきら-める,,,,,,
,泥,,水,,S,,,デイ,,,,,どろ,,,,,,
,的,,白,,,,,テキ,,,,,まと,,,,,,
,笛,,竹,,,,,テキ,,,,,ふえ,,,,,,
,摘,,手,,S,,,テキ,,,,,つ-む,,,,,,
,滴,,水,,S,,,テキ,,,,,しずく,したた-る,,,,,
,適,,辵,,,,,テキ,,,,,,,,,,,
,敵,,攴,,,,,テキ,,,,,かたき,,,,,,
,溺 ,,水,,S,,,デキ,,,,,おぼ-れる,,,,,,
,迭,,辵,,S,,,テツ,,,,,,,,,,,
,哲,,口,,S,,,テツ,,,,,,,,,,,
,鉄,鐵,金,,,,,テツ,,,,,,,,,,,
,徹,,彳,,S,,,テツ,,,,,,,,,,,
,撤,,手,,S,,,テツ,,,,,,,,,,,
,天,,大,,,,,テン,,,,,あめ,（あま）,,,,,
,典,,八,,,,,テン,,,,,,,,,,,
,店,,广,,,,,テン,,,,,みせ,,,,,,
,点,點,黑,,,,,テン,,,,,,,,,,,
,展,,尸,,,,,テン,,,,,,,,,,,
,添,,水,,S,,,テン,,,,,そ-える,そ-う,,,,,
,転,轉,車,,,,,テン,,,,,ころ-がる,ころ-げる,ころ-がす,ころ-ぶ,,,
,塡 ,,土,,S,,,テン,,,,,,,,,,,
,田,,田,,,,,デン,,,,,た,,,,,,
,伝,傳,人,,,,,デン,,,,,つた-わる,つた-える,つた-う,,,,
,殿,,殳,,S,,,デン,テン,,,,との,どの,,,,,
,電,,雨,,,,,デン,,,,,,,,,,,
,斗,,斗,,S,,,ト,,,,,,,,,,,
,吐,,口,,S,,,ト,,,,,は-く,,,,,,
,妬,,女,,S,,,ト,,,,,ねた-む,,,,,,
,徒,,彳,,,,,ト,,,,,,,,,,,
,途,,辵,,S,,,ト,,,,,,,,,,,
,都,都 ,邑,,,,,ト,ツ,,,,みやこ,,,,,,
,渡,,水,,S,,,ト,,,,,わた-る,わた-す,,,,,
,塗,,土,,S,,,ト,,,,,ぬ-る,,,,,,
,賭 ,,貝,,S,,,ト,,,,,か-ける,,,,,,
,土,,土,,,,,ド,ト,,,,つち,,,,,,
,奴,,女,,S,,,ド,,,,,,,,,,,
,努,,力,,,,,ド,,,,,つと-める,,,,,,
,度,,广,,,,,ド,（ト）,（タク）,,,たび,,,,,,
,怒,,心,,S,,,ド,,,,,いか-る,おこ-る,,,,,
,刀,,刀,,,,,トウ,,,,,かたな,,,,,,
,冬,,冫,,,,,トウ,,,,,ふゆ,,,,,,
,灯,燈,火,,,,,トウ,,,,,ひ,,,,,,
,当,當,田,,,,,トウ,,,,,あ-たる,あ-てる,,,,,
,投,,手,,,,,トウ,,,,,な-げる,,,,,,
,豆,,豆,,,,,トウ,（ズ）,,,,まめ,,,,,,
,東,,木,,,,,トウ,,,,,ひがし,,,,,,
,到,,刀,,S,,,トウ,,,,,,,,,,,
,逃,,辵,,S,,,トウ,,,,,に-げる,に-がす,のが-す,のが-れる,,,
,倒,,人,,S,,,トウ,,,,,たお-れる,たお-す,,,,,
,凍,,冫,,S,,,トウ,,,,,こお-る,こご-える,,,,,
,唐,,口,,S,,,トウ,,,,,から,,,,,,
,島,,山,,,,,トウ,,,,,しま,,,,,,
,桃,,木,,S,,,トウ,,,,,もも,,,,,,
,討,,言,,,,,トウ,,,,,う-つ,,,,,,
,透,,辵,,S,,,トウ,,,,,す-く,す-かす,す-ける,,,,
,党,黨,黑,,,,,トウ,,,,,,,,,,,
,悼,,心,,S,,,トウ,,,,,いた-む,,,,,,
,盗,盜,皿,,S,,,トウ,,,,,ぬす-む,,,,,,
,陶,,阜,,S,,,トウ,,,,,,,,,,,
,塔,,土,,S,,,トウ,,,,,,,,,,,
,搭,,手,,S,,,トウ,,,,,,,,,,,
,棟,,木,,S,,,トウ,,,,,むね,（むな）,,,,,
,湯,,水,,,,,トウ,,,,,ゆ,,,,,,
,痘,,疒,,S,,,トウ,,,,,,,,,,,
,登,,癶,,,,,トウ,ト,,,,のぼ-る,,,,,,
,答,,竹,,,,,トウ,,,,,こた-える,こた-え,,,,,
,等,,竹,,,,,トウ,,,,,ひと-しい,,,,,,
,筒,,竹,,S,,,トウ,,,,,つつ,,,,,,
,統,,糸,,,,,トウ,,,,,す-べる,,,,,,
,稲,稻,禾,,S,,,トウ,,,,,いね,（いな）,,,,,
,踏,,足,,S,,,トウ,,,,,ふ-む,ふ-まえる,,,,,
,糖,,米,,,,,トウ,,,,,,,,,,,
,頭,,頁,,,,,トウ,ズ,（ト）,,,あたま,かしら,,,,,
,謄,,言,,S,,,トウ,,,,,,,,,,,
,藤,,艸,,S,,,トウ,,,,,ふじ,,,,,,
,闘,鬭,鬥,,S,,,トウ,,,,,たたか-う,,,,,,
,騰,,馬,,S,,,トウ,,,,,,,,,,,
,同,,口,,,,,ドウ,,,,,おな-じ,,,,,,
,洞,,水,,S,,,ドウ,,,,,ほら,,,,,,
,胴,,肉,,S,,,ドウ,,,,,,,,,,,
,動,,力,,,,,ドウ,,,,,うご-く,うご-かす,,,,,
,堂,,土,,,,,ドウ,,,,,,,,,,,
,童,,立,,,,,ドウ,,,,,わらべ,,,,,,
,道,,辵,,,,,ドウ,（トウ）,,,,みち,,,,,,
,働,,人,,,,,ドウ,,,,,はたら-く,,,,,,
,銅,,金,,,,,ドウ,,,,,,,,,,,
,導,,寸,,,,,ドウ,,,,,みちび-く,,,,,,
,瞳,,目,,S,,,ドウ,,,,,ひとみ,,,,,,
,峠,,山,,S,,,,,,,,とうげ,,,,,,
,匿,,匸,,S,,,トク,,,,,,,,,,,
,特,,牛,,,,,トク,,,,,,,,,,,
,得,,彳,,,,,トク,,,,,え-る,う-る,,,,,
,督,,目,,S,,,トク,,,,,,,,,,,
,徳,德,彳,,,,,トク,,,,,,,,,,,
,篤,,竹,,S,,,トク,,,,,,,,,,,
,毒,,毋,,,,,ドク,,,,,,,,,,,
,独,獨,犬,,,,,ドク,,,,,ひと-り,,,,,,
,読,讀,言,,,,,ドク,トク,（トウ）,,,よ-む,,,,,,
,栃 ,,木,,S,,,,,,,,（とち）,,,,,,
,凸,,凵,,S,,,トツ,,,,,,,,,,,
,突,突 ,穴,,S,,,トツ,,,,,つ-く,,,,,,
,届,屆,尸,,,,,,,,,,とど-ける,とど-く,,,,,
,屯,,屮,,S,,,トン,,,,,,,,,,,
,豚,,豕,,S,,,トン,,,,,ぶた,,,,,,
,頓,,頁,,S,,,トン,,,,,,,,,,,
,貪,,貝,,S,,,ドン,,,,,むさぼ-る,,,,,,
,鈍,,金,,S,,,ドン,,,,,にぶ-い,にぶ-る,,,,,
,曇,,日,,S,,,ドン,,,,,くも-る,,,,,,
,丼,,丶,,S,,,,,,,,どんぶり,（どん）,,,,,
,那,,邑,,S,,,ナ,,,,,,,,,,,
,奈,,大,,S,,,ナ,,,,,,,,,,,
,内,,入,,,,,ナイ,（ダイ）,,,,うち,,,,,,
,梨,,木,,S,,,,,,,,なし,,,,,,
,謎 ,,言,,S,,,,,,,,なぞ,,,,,,
,鍋,,金,,S,,,,,,,,なべ,,,,,,
,南,,十,,,,,ナン,（ナ）,,,,みなみ,,,,,,
,軟,,車,,S,,,ナン,,,,,やわ-らか,やわ-らかい,,,,,
,難,難 ,隹,,,,,ナン,,,,,かた-い,むずか-しい,,,,,
,二,,二,,,,,ニ,,,,,ふた,ふた-つ,,,,,
,尼,,尸,,S,,,ニ,,,,,あま,,,,,,
,弐,貳,貝,,S,,,ニ,,,,,,,,,,,
,匂,,勹,,S,,,,,,,,にお-う,,,,,,
,肉,,肉,,,,,ニク,,,,,,,,,,,
,虹,,虫,,S,,,,,,,,にじ,,,,,,
,日,,日,,,,,ニチ,ジツ,,,,ひ,か,,,,,
,入,,入,,,,,ニュウ,,,,,い-る,い-れる,はい-る,,,,
,乳,,乙,,,,,ニュウ,,,,,ちち,ち,,,,,
,尿,,尸,,S,,,ニョウ,,,,,,,,,,,
,任,,人,,,,,ニン,,,,,まか-せる,まか-す,,,,,
,妊,,女,,S,,,ニン,,,,,,,,,,,
,忍,,心,,S,,,ニン,,,,,しの-ぶ,しの-ばせる,,,,,
,認,,言,,,,,ニン,,,,,みと-める,,,,,,
,寧,,宀,,S,,,ネイ,,,,,,,,,,,
,熱,,火,,,,,ネツ,,,,,あつ-い,,,,,,
,年,,干,,,,,ネン,,,,,とし,,,,,,
,念,,心,,,,,ネン,,,,,,,,,,,
,捻,,手,,S,,,ネン,,,,,,,,,,,
,粘,,米,,S,,,ネン,,,,,ねば-る,,,,,,
,燃,,火,,,,,ネン,,,,,も-える,も-やす,も-す,,,,
,悩,惱,心,,S,,,ノウ,,,,,なや-む,なや-ます,,,,,
,納,,糸,,,,,ノウ,（ナッ）,（ナ）,（ナン）,（トウ）,おさ-める,おさ-まる,,,,,
,能,,肉,,,,,ノウ,,,,,,,,,,,
,脳,腦,肉,,,,,ノウ,,,,,,,,,,,
,農,,辰,,,,,ノウ,,,,,,,,,,,
,濃,,水,,S,,,ノウ,,,,,こ-い,,,,,,
,把,,手,,S,,,ハ,,,,,,,,,,,
,波,,水,,,,,ハ,,,,,なみ,,,,,,
,派,,水,,,,,ハ,,,,,,,,,,,
,破,,石,,,,,ハ,,,,,やぶ-る,やぶ-れる,,,,,
,覇,霸,襾,,S,,,ハ,,,,,,,,,,,
,馬,,馬,,,,,バ,,,,,うま,（ま）,,,,,
,婆,,女,,S,,,バ,,,,,,,,,,,
,罵,,网,,S,,,バ,,,,,ののし-る,,,,,,
,拝,拜,手,,,,,ハイ,,,,,おが-む,,,,,,
,杯,,木,,S,,,ハイ,,,,,さかずき,,,,,,
,背,,肉,,,,,ハイ,,,,,せ,せい,そむ-く,そむ-ける,,,
,肺,,肉,,,,,ハイ,,,,,,,,,,,
,俳,,人,,,,,ハイ,,,,,,,,,,,
,配,,酉,,,,,ハイ,,,,,くば-る,,,,,,
,排,,手,,S,,,ハイ,,,,,,,,,,,
,敗,,攴,,,,,ハイ,,,,,やぶ-れる,,,,,,
,廃,廢,广,,S,,,ハイ,,,,,すた-れる,すた-る,,,,,
,輩,,車,,S,,,ハイ,,,,,,,,,,,
,売,賣,貝,,,,,バイ,,,,,う-る,う-れる,,,,,
,倍,,人,,,,,バイ,,,,,,,,,,,
,梅,梅 ,木,,,,,バイ,,,,,うめ,,,,,,
,培,,土,,S,,,バイ,,,,,つちか-う,,,,,,
,陪,,阜,,S,,,バイ,,,,,,,,,,,
,媒,,女,,S,,,バイ,,,,,,,,,,,
,買,,貝,,,,,バイ,,,,,か-う,,,,,,
,賠,,貝,,S,,,バイ,,,,,,,,,,,
,白,,白,,,,,ハク,ビャク,,,,しろ,（しら）,しろ-い,,,,
,伯,,人,,S,,,ハク,,,,,,,,,,,
,拍,,手,,S,,,ハク,（ヒョウ）,,,,,,,,,,
,泊,,水,,S,,,ハク,,,,,と-まる,と-める,,,,,
,迫,,辵,,S,,,ハク,,,,,せま-る,,,,,,
,剝 ,,刀,,S,,,ハク,,,,,は-がす,は-ぐ,は-がれる,は-げる,,,
,舶,,舟,,S,,,ハク,,,,,,,,,,,
,博,,十,,,,,ハク,（バク）,,,,,,,,,,
,薄,,艸,,S,,,ハク,,,,,うす-い,うす-める,うす-まる,うす-らぐ,うす-れる,,
,麦,麥,麥,,,,,バク,,,,,むぎ,,,,,,
,漠,,水,,S,,,バク,,,,,,,,,,,
,縛,,糸,,S,,,バク,,,,,しば-る,,,,,,
,爆,,火,,S,,,バク,,,,,,,,,,,
,箱,,竹,,,,,,,,,,はこ,,,,,,
,箸 ,,竹,,S,,,,,,,,はし,,,,,,
,畑,,田,,,,,,,,,,はた,はたけ,,,,,
,肌,,肉,,S,,,,,,,,はだ,,,,,,
,八,,八,,,,,ハチ,,,,,や,や-つ,やっ-つ,（よう）,,,
,鉢,,金,,S,,,ハチ,（ハツ）,,,,,,,,,,
,発,發,癶,,,,,ハツ,ホツ,,,,,,,,,,
,髪,髮,髟,,S,,,ハツ,,,,,かみ,,,,,,
,伐,,人,,S,,,バツ,,,,,,,,,,,
,抜,拔,手,,S,,,バツ,,,,,ぬ-く,ぬ-ける,ぬ-かす,ぬ-かる,,,
,罰,,网,,S,,,バツ,バチ,,,,,,,,,,
,閥,,門,,S,,,バツ,,,,,,,,,,,
,反,,又,,,,,ハン,（ホン）,（タン）,,,そ-る,そ-らす,,,,,
,半,,十,,,,,ハン,,,,,なか-ば,,,,,,
,氾,,水,,S,,,ハン,,,,,,,,,,,
,犯,,犬,,,,,ハン,,,,,おか-す,,,,,,
,帆,,巾,,S,,,ハン,,,,,ほ,,,,,,
,汎 ,,水,,S,,,ハン,,,,,,,,,,,
,伴,,人,,S,,,ハン,バン,,,,ともな-う,,,,,,
,判,,刀,,,,,ハン,バン,,,,,,,,,,
,坂,,土,,,,,ハン,,,,,さか,,,,,,
,阪,,阜,,S,,,ハン,,,,,,,,,,,
,板,,木,,,,,ハン,バン,,,,いた,,,,,,
,版,,片,,,,,ハン,,,,,,,,,,,
,班,,玉,,,,,ハン,,,,,,,,,,,
,畔,,田,,S,,,ハン,,,,,,,,,,,
,般,,舟,,S,,,ハン,,,,,,,,,,,
,販,,貝,,S,,,ハン,,,,,,,,,,,
,斑,,文,,S,,,ハン,,,,,,,,,,,
,飯,,食,,,,,ハン,,,,,めし,,,,,,
,搬,,手,,S,,,ハン,,,,,,,,,,,
,煩,,火,,S,,,ハン,（ボン）,,,,わずら-う,わずら-わす,,,,,
,頒,,頁,,S,,,ハン,,,,,,,,,,,
,範,,竹,,S,,,ハン,,,,,,,,,,,
,繁,繁 ,糸,,S,,,ハン,,,,,,,,,,,
,藩,,艸,,S,,,ハン,,,,,,,,,,,
,晩,晚,日,,,,,バン,,,,,,,,,,,
,番,,田,,,,,バン,,,,,,,,,,,
,蛮,蠻,虫,,S,,,バン,,,,,,,,,,,
,盤,,皿,,S,,,バン,,,,,,,,,,,
,比,,比,,,,,ヒ,,,,,くら-べる,,,,,,
,皮,,皮,,,,,ヒ,,,,,かわ,,,,,,
,妃,,女,,S,,,ヒ,,,,,,,,,,,
,否,,口,,,,,ヒ,,,,,いな,,,,,,
,批,,手,,,,,ヒ,,,,,,,,,,,
,彼,,彳,,S,,,ヒ,,,,,かれ,（かの）,,,,,
,披,,手,,S,,,ヒ,,,,,,,,,,,
,肥,,肉,,,,,ヒ,,,,,こ-える,こえ,こ-やす,こ-やし,,,
,非,,非,,,,,ヒ,,,,,,,,,,,
,卑,卑 ,十,,S,,,ヒ,,,,,いや-しい,いや-しむ,いや-しめる,,,,
,飛,,飛,,,,,ヒ,,,,,と-ぶ,と-ばす,,,,,
,疲,,疒,,S,,,ヒ,,,,,つか-れる,,,,,,
,秘,祕,示,,,,,ヒ,,,,,ひ-める,,,,,,
,被,,衣,,S,,,ヒ,,,,,こうむ-る,,,,,,
,悲,,心,,,,,ヒ,,,,,かな-しい,かな-しむ,,,,,
,扉,,戶,,S,,,ヒ,,,,,とびら,,,,,,
,費,,貝,,,,,ヒ,,,,,つい-やす,つい-える,,,,,
,碑,碑 ,石,,S,,,ヒ,,,,,,,,,,,
,罷,,网,,S,,,ヒ,,,,,,,,,,,
,避,,辵,,S,,,ヒ,,,,,さ-ける,,,,,,
,尾,,尸,,S,,,ビ,,,,,お,,,,,,
,眉,,目,,S,,,ビ,（ミ）,,,,まゆ,,,,,,
,美,,羊,,,,,ビ,,,,,うつく-しい,,,,,,
,備,,人,,,,,ビ,,,,,そな-える,そな-わる,,,,,
,微,,彳,,S,,,ビ,,,,,,,,,,,
,鼻,,鼻,,,,,ビ,,,,,はな,,,,,,
,膝,,肉,,S,,,,,,,,ひざ,,,,,,
,肘,,肉,,S,,,,,,,,ひじ,,,,,,
,匹,,匸,,S,,,ヒツ,,,,,ひき,,,,,,
,必,,心,,,,,ヒツ,,,,,かなら-ず,,,,,,
,泌,,水,,S,,,ヒツ,ヒ,,,,,,,,,,
,筆,,竹,,,,,ヒツ,,,,,ふで,,,,,,
,姫,,女,,S,,,,,,,,ひめ,,,,,,
,百,,白,,,,,ヒャク,,,,,,,,,,,
,氷,,水,,,,,ヒョウ,,,,,こおり,ひ,,,,,
,表,,衣,,,,,ヒョウ,,,,,おもて,あらわ-す,あらわ-れる,,,,
,俵,,人,,,,,ヒョウ,,,,,たわら,,,,,,
,票,,示,,,,,ヒョウ,,,,,,,,,,,
,評,,言,,,,,ヒョウ,,,,,,,,,,,
,漂,,水,,S,,,ヒョウ,,,,,ただよ-う,,,,,,
,標,,木,,,,,ヒョウ,,,,,,,,,,,
,苗,,艸,,S,,,ビョウ,,,,,なえ,（なわ）,,,,,
,秒,,禾,,,,,ビョウ,,,,,,,,,,,
,病,,疒,,,,,ビョウ,（ヘイ）,,,,や-む,やまい,,,,,
,描,,手,,S,,,ビョウ,,,,,えが-く,か-く,,,,,
,猫,,犬,,S,,,ビョウ,,,,,ねこ,,,,,,
,品,,口,,,,,ヒン,,,,,しな,,,,,,
,浜,濱,水,,S,,,ヒン,,,,,はま,,,,,,
,貧,,貝,,,,,ヒン,ビン,,,,まず-しい,,,,,,
,賓,賓 ,貝,,S,,,ヒン,,,,,,,,,,,
,頻,頻 ,頁,,S,,,ヒン,,,,,,,,,,,
,敏,敏 ,攴,,S,,,ビン,,,,,,,,,,,
,瓶,甁,瓦,,S,,,ビン,,,,,,,,,,,
,不,,一,,,,,フ,ブ,,,,,,,,,,
,夫,,大,,,,,フ,（フウ）,,,,おっと,,,,,,
,父,,父,,,,,フ,,,,,ちち,,,,,,
,付,,人,,,,,フ,,,,,つ-ける,つ-く,,,,,
,布,,巾,,,,,フ,,,,,ぬの,,,,,,
,扶,,手,,S,,,フ,,,,,,,,,,,
,府,,广,,,,,フ,,,,,,,,,,,
,怖,,心,,S,,,フ,,,,,こわ-い,,,,,,
,阜,,阜,,S,,,（フ）,,,,,,,,,,,
,附,,阜,,S,,,フ,,,,,,,,,,,
,訃,,言,,S,,,フ,,,,,,,,,,,
,負,,貝,,,,,フ,,,,,ま-ける,ま-かす,お-う,,,,
,赴,,走,,S,,,フ,,,,,おもむ-く,,,,,,
,浮,,水,,S,,,フ,,,,,う-く,う-かれる,う-かぶ,う-かべる,,,
,婦,,女,,,,,フ,,,,,,,,,,,
,符,,竹,,S,,,フ,,,,,,,,,,,
,富,,宀,,,,,フ,（フウ）,,,,と-む,とみ,,,,,
,普,,日,,S,,,フ,,,,,,,,,,,
,腐,,肉,,S,,,フ,,,,,くさ-る,くさ-れる,くさ-らす,,,,
,敷,,攴,,S,,,フ,,,,,し-く,,,,,,
,膚,,肉,,S,,,フ,,,,,,,,,,,
,賦,,貝,,S,,,フ,,,,,,,,,,,
,譜,,言,,S,,,フ,,,,,,,,,,,
,侮,侮 ,人,,S,,,ブ,,,,,あなど-る,,,,,,
,武,,止,,,,,ブ,ム,,,,,,,,,,
,部,,邑,,,,,ブ,,,,,,,,,,,
,舞,,舛,,S,,,ブ,,,,,ま-う,まい,,,,,
,封,,寸,,S,,,フウ,ホウ,,,,,,,,,,
,風,,風,,,,,フウ,（フ）,,,,かぜ,（かざ）,,,,,
,伏,,人,,S,,,フク,,,,,ふ-せる,ふ-す,,,,,
,服,,月,,,,,フク,,,,,,,,,,,
,副,,刀,,,,,フク,,,,,,,,,,,
,幅,,巾,,S,,,フク,,,,,はば,,,,,,
,復,,彳,,,,,フク,,,,,,,,,,,
,福,福 ,示,,,,,フク,,,,,,,,,,,
,腹,,肉,,,,,フク,,,,,はら,,,,,,
,複,,衣,,,,,フク,,,,,,,,,,,
,覆,,襾,,S,,,フク,,,,,おお-う,くつがえ-す,くつがえ-る,,,,
,払,拂,手,,S,,,フツ,,,,,はら-う,,,,,,
,沸,,水,,S,,,フツ,,,,,わ-く,わ-かす,,,,,
,仏,佛,人,,,,,ブツ,,,,,ほとけ,,,,,,
,物,,牛,,,,,ブツ,モツ,,,,もの,,,,,,
,粉,,米,,,,,フン,,,,,こ,こな,,,,,
